ts,event,symbol,detail
1755209610240,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209611039,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209611039,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209611842,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209611842,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209612641,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209612641,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209613441,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209613441,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209614243,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209614243,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209615042,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209615042,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209615841,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209615874,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209618803,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209619537,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209619541,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209620341,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209620341,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209621183,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209621183,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209621943,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209621943,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209622746,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209622746,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209623543,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209623544,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209624345,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209624345,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209625145,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209625147,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209625947,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
